Sin,depth,Project,FundingSource,projectCode,invest,CollectMethod,matrix,SubMatrix,species,DateCollected,Year,location,sampler,agency,LAT,LONG,SampleType,QCERROR,comment
1076,0,COAHAB1,EVOSTC,CH1,S3 SITE 2,COCU,SEDIMENT,,,31-Mar-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1077,-2,COAHAB1,EVOSTC,CH1,M1,HAND,TISSUE,WHOLE,MUSS,03-Apr-89,1989,GREEI,KARINEN,NMFS ABL,60.295,-147.375,ENV,GOOD,
1078,-2,COAHAB1,EVOSTC,CH1,M2,HAND,TISSUE,WHOLE,MUSS,03-Apr-89,1989,GREEI,KARINEN,NMFS ABL,60.295,-147.375,ENV,GOOD,
1079,-2,COAHAB1,EVOSTC,CH1,M3,HAND,TISSUE,WHOLE,MUSS,03-Apr-89,1989,GREEI,KARINEN,NMFS ABL,60.295,-147.375,ENV,GOOD,
1080,0,COAHAB1,EVOSTC,CH1,S1,COCU,SEDIMENT,,,01-Apr-89,1989,CRABB,KARINEN,NMFS ABL,60.072,-147.997,ENV,GOOD,
1081,0,COAHAB1,EVOSTC,CH1,S2,COCU,SEDIMENT,,,01-Apr-89,1989,CRABB,KARINEN,NMFS ABL,60.072,-147.997,ENV,GOOD,
1082,0,COAHAB1,EVOSTC,CH1,S3,COCU,SEDIMENT,,,01-Apr-89,1989,CRABB,KARINEN,NMFS ABL,60.072,-147.997,ENV,GOOD,
1083,0,COAHAB1,EVOSTC,CH1,S1,COCU,SEDIMENT,,,05-Apr-89,1989,OLSEN,KARINEN,NMFS ABL,60.739,-146.198,ENV,GOOD,
1084,0,COAHAB1,EVOSTC,CH1,S3,COCU,SEDIMENT,,,04-Apr-89,1989,OLSEN,KARINEN,NMFS ABL,60.739,-146.198,ENV,GOOD,
1094,-2,COAHAB1,EVOSTC,CH1,M01 SITE 1,HAND,TISSUE,WHOLE,MUSS,07-Apr-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1095,-2,COAHAB1,EVOSTC,CH1,M02 SITE 1,HAND,TISSUE,WHOLE,MUSS,07-Apr-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1096,-2,COAHAB1,EVOSTC,CH1,M03 SITE 1,HAND,TISSUE,WHOLE,MUSS,07-Apr-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1097,0,COAHAB1,EVOSTC,CH1,S11 SITE 2,COCU,SEDIMENT,,,07-Apr-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1098,0,COAHAB1,EVOSTC,CH1,S12 SITE 2,COCU,SEDIMENT,,,07-Apr-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1099,0,COAHAB1,EVOSTC,CH1,S13 SITE 2,COCU,SEDIMENT,,,07-Apr-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1100,-2,COAHAB1,EVOSTC,CH1,M11 SITE 2,HAND,TISSUE,WHOLE,MUSS,07-Apr-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1101,-2,COAHAB1,EVOSTC,CH1,M12 SITE 2,HAND,TISSUE,WHOLE,MUSS,07-Apr-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1102,-2,COAHAB1,EVOSTC,CH1,M13 SITE 2,HAND,TISSUE,WHOLE,MUSS,07-Apr-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1103,0,COAHAB1,EVOSTC,CH1,S2,COCU,SEDIMENT,,,06-Apr-89,1989,OLSEN,KARINEN,NMFS ABL,60.739,-146.198,ENV,GOOD,
1104,-2,COAHAB1,EVOSTC,CH1,M1,HAND,TISSUE,WHOLE,MUSS,06-Apr-89,1989,OLSEN,KARINEN,NMFS ABL,60.739,-146.198,ENV,GOOD,
1105,-2,COAHAB1,EVOSTC,CH1,M2,HAND,TISSUE,WHOLE,MUSS,06-Apr-89,1989,OLSEN,KARINEN,NMFS ABL,60.739,-146.198,ENV,GOOD,
1106,-2,COAHAB1,EVOSTC,CH1,M3,HAND,TISSUE,WHOLE,MUSS,06-Apr-89,1989,OLSEN,KARINEN,NMFS ABL,60.739,-146.198,ENV,GOOD,
1107,0,COAHAB1,EVOSTC,CH1,S02,COCU,SEDIMENT,,,08-Apr-89,1989,BOISL,KARINEN,NMFS ABL,60.363,-147.692,ENV,GOOD,
1111,0,COAHAB1,EVOSTC,CH1,S01,COCU,SEDIMENT,,,08-Apr-89,1989,NAKEI,KARINEN,NMFS ABL,60.652,-147.437,ENV,GOOD,
1112,0,COAHAB1,EVOSTC,CH1,S02,COCU,SEDIMENT,,,08-Apr-89,1989,NAKEI,KARINEN,NMFS ABL,60.652,-147.437,ENV,GOOD,
1113,0,COAHAB1,EVOSTC,CH1,S03,COCU,SEDIMENT,,,08-Apr-89,1989,NAKEI,KARINEN,NMFS ABL,60.652,-147.437,ENV,GOOD,
1114,-2,COAHAB1,EVOSTC,CH1,M01,HAND,TISSUE,WHOLE,MUSS,08-Apr-89,1989,NAKEI,KARINEN,NMFS ABL,60.652,-147.437,ENV,GOOD,
1115,-2,COAHAB1,EVOSTC,CH1,M02,HAND,TISSUE,WHOLE,MUSS,08-Apr-89,1989,NAKEI,KARINEN,NMFS ABL,60.652,-147.437,ENV,GOOD,
1116,-2,COAHAB1,EVOSTC,CH1,M03,HAND,TISSUE,WHOLE,MUSS,08-Apr-89,1989,NAKEI,KARINEN,NMFS ABL,60.652,-147.437,ENV,GOOD,
1117,0,COAHAB1,EVOSTC,CH1,S01,COCU,SEDIMENT,,,08-Apr-89,1989,BOISL,KARINEN,NMFS ABL,60.363,-147.692,ENV,GOOD,
1118,0,COAHAB1,EVOSTC,CH1,S03,COCU,SEDIMENT,,,08-Apr-89,1989,BOISL,KARINEN,NMFS ABL,60.363,-147.692,ENV,GOOD,
